go mod tidy
go: downloading github.com/ti-mo/conntrack v0.6.0
go: downloading github.com/sirupsen/logrus v1.10.2
go: downloading golang.org/x/net v0.58.0
go: downloading github.com/ti-mo/netfilter v0.5.3
go: downloading golang.org/x/mod v0.40.0
go: downloading k8s.io/kubernetes v1.36.4
go: downloading k8s.io/component-base v0.36.4
go: downloading sigs.k8s.io/knftables v0.0.22
go: downloading go.podman.io/image/v5 v5.41.1
go: downloading github.com/moby/moby/api v1.55.0
go: downloading k8s.io/kubectl v0.36.4
go: downloading github.com/moby/moby/client v0.5.1
go: downloading k8s.io/pod-security-admission v0.36.4
go: downloading github.com/google/uuid v1.6.0
go: downloading kernel.org/pub/linux/libs/security/libcap/psx v1.2.78
go: downloading github.com/vishvananda/netns v0.0.5
go: downloading go.yaml.in/yaml/v2 v2.4.4
go: downloading github.com/google/go-cmp v0.7.0
go: downloading go.yaml.in/yaml/v3 v3.0.5
go: downloading github.com/beorn7/perks v1.0.1
go: downloading github.com/cespare/xxhash/v2 v2.3.0
go: downloading github.com/prometheus/client_model v0.6.2
go: downloading github.com/prometheus/common v0.70.1
go: downloading github.com/prometheus/procfs v0.21.1
go: downloading google.golang.org/protobuf v1.36.12-0.20260120151049-f2248ac996af
go: downloading sigs.k8s.io/randfill v1.0.0
go: downloading gopkg.in/inf.v0 v0.9.1
go: downloading github.com/kylelemons/godebug v1.1.0
go: downloading gomodules.xyz/jsonpatch/v2 v2.5.0
go: downloading kubevirt.io/containerized-data-importer-api v1.65.0
go: downloading github.com/munnerz/goautoneg v0.0.0-20191010083416-a7dc8b61c822
go: downloading github.com/google/gnostic-models v0.7.1
go: downloading gopkg.in/evanphx/json-patch.v4 v4.13.0
go: downloading github.com/cenkalti/backoff/v4 v4.3.0
go: downloading github.com/cenkalti/rpc2 v1.0.5
go: downloading github.com/go-playground/validator/v10 v10.30.3
go: downloading golang.org/x/term v0.45.0
go: downloading github.com/moul/http2curl v1.0.0
go: downloading github.com/pkg/errors v0.9.1
go: downloading github.com/elazarl/goproxy v1.8.4
go: downloading golang.org/x/text v0.41.0
go: downloading golang.org/x/sync v0.22.0
go: downloading go.uber.org/multierr v1.11.0
go: downloading github.com/openshift/client-go v0.0.0-20210112165513-ebc401615f47
go: downloading github.com/go-kit/log v0.2.1
go: downloading github.com/gorilla/websocket v1.5.4-0.20250319132907-e064f32e3674
go: downloading github.com/spf13/afero v1.15.0
go: downloading github.com/dgryski/go-farm v0.0.0-20240924180020-3414d57e47da
go: downloading github.com/eapache/channels v1.1.0
go: downloading github.com/mdlayher/ethernet v0.0.0-20220221185849-529eae5b6118
go: downloading github.com/godbus/dbus/v5 v5.2.2
go: downloading gopkg.in/natefinch/lumberjack.v2 v2.2.1
go: downloading k8s.io/gengo/v2 v2.0.0-20250922181213-ec3ebc5fd46b
go: downloading github.com/josharian/native v1.1.0
go: downloading github.com/mdlayher/socket v0.6.1
go: downloading github.com/mdlayher/netlink v1.11.2
go: downloading github.com/projectcalico/libcalico-go v0.0.0-20190305235709-3d935c3b8b86
go: downloading sigs.k8s.io/json v0.0.0-20250730193827-2d320260d730
go: downloading github.com/coreos/go-iptables v0.8.0
go: downloading github.com/mattn/go-shellwords v1.0.14
go: downloading github.com/containerd/log v0.1.0
go: downloading k8s.io/streaming v0.36.4
go: downloading github.com/Masterminds/semver/v3 v3.5.0
go: downloading github.com/google/nftables v0.3.0
go: downloading github.com/fsnotify/fsnotify v1.10.1
go: downloading github.com/Microsoft/hcsshim v0.15.0-rc.2
go: downloading github.com/moby/sys/symlink v0.3.0
go: downloading github.com/Microsoft/go-winio v0.6.3-0.20251027160822-ad3df93bed29
go: downloading github.com/containerd/errdefs v1.0.0
go: downloading github.com/containerd/errdefs/pkg v0.3.0
go: downloading github.com/distribution/reference v0.6.0
go: downloading github.com/docker/go-connections v0.8.1
go: downloading github.com/opencontainers/go-digest v1.0.0
go: downloading github.com/opencontainers/image-spec v1.1.1
go: downloading go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp v0.69.0
go: downloading go.opentelemetry.io/otel/trace v1.44.0
go: downloading go.opentelemetry.io/otel v1.44.0
go: downloading github.com/stretchr/objx v0.5.3
go: downloading go.podman.io/storage v1.64.0
go: downloading go.uber.org/goleak v1.3.0
go: downloading github.com/klauspost/compress v1.19.1
go: downloading github.com/fatih/set v0.2.1
go: downloading github.com/onsi/ginkgo v1.16.5
go: downloading github.com/go-test/deep v1.1.1
go: downloading github.com/google/gofuzz v1.2.0
go: downloading github.com/lithammer/dedent v1.1.0
go: downloading gotest.tools/v3 v3.5.2
go: downloading github.com/docker/go-units v0.5.0
go: downloading github.com/moby/docker-image-spec v1.3.1
go: downloading k8s.io/cli-runtime v0.36.4
go: downloading github.com/fxamacker/cbor/v2 v2.9.2
go: downloading github.com/google/cadvisor v0.57.0
go: downloading go.opentelemetry.io/contrib/instrumentation/github.com/emicklei/go-restful/otelrestful v0.69.0
go: downloading k8s.io/cri-api v0.36.4
go: downloading k8s.io/cri-client v0.36.4
go: downloading k8s.io/cri-streaming v0.36.4
go: downloading k8s.io/kubelet v0.36.4
go: downloading k8s.io/cloud-provider v0.36.4
go: downloading github.com/json-iterator/go v1.1.12
go: downloading github.com/go-openapi/jsonreference v0.21.5
go: downloading github.com/go-openapi/swag v0.26.0
go: downloading github.com/pmezard/go-difflib v1.0.1-0.20181226105442-5d4384ee4fb2
go: downloading golang.org/x/oauth2 v0.36.0
go: downloading kubevirt.io/controller-lifecycle-operator-sdk/api v0.2.4
go: downloading github.com/davecgh/go-spew v1.1.2-0.20180830191138-d8f796af33cc
go: downloading github.com/cenkalti/hub v1.0.2
go: downloading github.com/gkampitakis/go-snaps v0.5.15
go: downloading github.com/joshdk/go-junit v1.0.0
go: downloading github.com/mfridman/tparse v0.18.0
go: downloading github.com/smartystreets/goconvey v1.8.1
go: downloading github.com/gabriel-vasile/mimetype v1.4.13
go: downloading github.com/go-playground/universal-translator v0.18.1
go: downloading github.com/leodido/go-urn v1.4.0
go: downloading golang.org/x/crypto v0.55.0
go: downloading github.com/go-playground/assert/v2 v2.2.0
go: downloading github.com/go-playground/locales v0.14.1
go: downloading google.golang.org/genproto/googleapis/rpc v0.0.0-20260610212136-7ab31c22f7ad
go: downloading github.com/go-logfmt/logfmt v0.6.1
go: downloading github.com/orcaman/concurrent-map/v2 v2.0.1
go: downloading github.com/gaissmai/bart v0.28.0
go: downloading github.com/k-sone/critbitgo v1.4.0
go: downloading github.com/segmentio/fasthash v1.0.3
go: downloading github.com/go-viper/mapstructure/v2 v2.5.0
go: downloading github.com/spf13/viper v1.21.0
go: downloading github.com/eapache/queue v1.1.0
go: downloading github.com/safchain/ethtool v0.6.2
go: downloading github.com/moby/spdystream v0.5.1
go: downloading sigs.k8s.io/gateway-api v1.6.0
go: downloading github.com/go-task/slim-sprig/v3 v3.0.0
go: downloading golang.org/x/tools/go/packages/packagestest v0.1.1-deprecated
go: downloading github.com/projectcalico/go-yaml-wrapper v0.0.0-20191112210931-090425220c54
go: downloading github.com/containerd/containerd/api v1.11.1
go: downloading github.com/containerd/continuity v0.5.0
go: downloading github.com/moby/sys/userns v0.1.0
go: downloading go.opentelemetry.io/otel/sdk v1.44.0
go: downloading pgregory.net/rapid v1.2.0
go: downloading go.opentelemetry.io/otel/sdk/metric v1.44.0
go: downloading github.com/felixge/httpsnoop v1.0.4
go: downloading go.opentelemetry.io/otel/metric v1.44.0
go: downloading github.com/spf13/cobra v1.10.2
go: downloading github.com/fatih/camelcase v1.0.0
go: downloading k8s.io/component-helpers v0.36.4
go: downloading k8s.io/kube-aggregator v0.36.4
go: downloading k8s.io/sample-apiserver v0.36.4
go: downloading k8s.io/cluster-bootstrap v0.36.4
go: downloading github.com/container-storage-interface/spec v1.12.0
go: downloading github.com/blang/semver/v4 v4.0.0
go: downloading github.com/openshift/api v0.0.0-20191219222812-2987a591a72c
go: downloading go.opentelemetry.io/contrib/propagators/b3 v1.44.0
go: downloading github.com/mxk/go-flowrate v0.0.0-20140419014527-cca7078d478f
go: downloading go.opentelemetry.io/otel/exporters/stdout/stdouttrace v1.44.0
go: downloading github.com/armon/go-socks5 v0.0.0-20160902184237-e75332964ef5
go: downloading github.com/x448/float16 v0.8.4
go: downloading k8s.io/controller-manager v0.36.4
go: downloading github.com/opencontainers/cgroups v0.0.6
go: downloading k8s.io/mount-utils v0.36.4
go: downloading github.com/opencontainers/selinux v1.15.1
go: downloading github.com/go-openapi/jsonpointer v0.23.1
go: downloading github.com/go-openapi/testify/v2 v2.4.2
go: downloading github.com/go-openapi/swag/cmdutils v0.26.0
go: downloading github.com/go-openapi/swag/conv v0.26.0
go: downloading github.com/go-openapi/swag/fileutils v0.26.0
go: downloading github.com/go-openapi/swag/jsonname v0.26.0
go: downloading github.com/go-openapi/swag/jsonutils v0.26.0
go: downloading github.com/go-openapi/swag/loading v0.26.0
go: downloading github.com/go-openapi/swag/mangling v0.26.0
go: downloading github.com/go-openapi/swag/netutils v0.26.0
go: downloading github.com/go-openapi/swag/stringutils v0.26.0
go: downloading github.com/go-openapi/swag/typeutils v0.26.0
go: downloading github.com/openshift/custom-resource-status v1.1.2
go: downloading github.com/go-openapi/swag/yamlutils v0.26.0
go: downloading github.com/kubernetes-csi/external-snapshotter/client/v4 v4.2.0
go: downloading github.com/prometheus-operator/prometheus-operator/pkg/apis/monitoring v0.83.0
go: downloading github.com/modern-go/concurrent v0.0.0-20180306012644-bacd9c7ef1dd
go: downloading github.com/modern-go/reflect2 v1.0.3-0.20250322232337-35a7c28c31ee
go: downloading github.com/google/cel-go v0.29.0
go: downloading github.com/gkampitakis/ciinfo v0.3.2
go: downloading github.com/gkampitakis/go-diff v1.3.2
go: downloading github.com/goccy/go-yaml v1.18.0
go: downloading github.com/kr/pretty v0.3.1
go: downloading github.com/maruel/natural v1.1.1
go: downloading github.com/tidwall/gjson v1.18.0
go: downloading github.com/tidwall/pretty v1.2.1
go: downloading github.com/golang/protobuf v1.5.4
go: downloading github.com/go-ini/ini v1.67.0
go: downloading github.com/kardianos/osext v0.0.0-20190222173326-2bc1f35cddc0
go: downloading github.com/hashicorp/go-version v1.9.0
go: downloading github.com/gogo/protobuf v1.3.2
go: downloading github.com/google/pprof v0.0.0-20260507013755-92041b743c96
go: downloading github.com/sagikazarmark/locafero v0.12.0
go: downloading github.com/spf13/cast v1.10.0
go: downloading golang.org/x/tools/go/expect v0.1.1-deprecated
go: downloading github.com/kelseyhightower/envconfig v1.4.0
go: downloading github.com/projectcalico/go-json v0.0.0-20161128004156-6219dc7339ba
go: downloading gopkg.in/yaml.v2 v2.4.0
go: downloading github.com/jtolds/gls v4.20.0+incompatible
go: downloading github.com/smarty/assertions v1.15.0
go: downloading sigs.k8s.io/kustomize/api v0.21.1
go: downloading sigs.k8s.io/kustomize/kyaml v0.21.1
go: downloading github.com/chai2010/gettext-go v1.0.3
go: downloading github.com/MakeNowJust/heredoc v1.0.0
go: downloading github.com/mitchellh/go-wordwrap v1.0.1
go: downloading github.com/russross/blackfriday/v2 v2.1.0
go: downloading github.com/exponent-io/jsonpath v0.0.0-20210407135951-1de76d718b3f
go: downloading github.com/liggitt/tabwriter v0.0.0-20181228230101-89fcab3d43de
go: downloading github.com/moby/term v0.5.2
go: downloading go.etcd.io/etcd/client/pkg/v3 v3.6.11
go: downloading go.etcd.io/etcd/client/v3 v3.6.11
go: downloading k8s.io/dynamic-resource-allocation v0.36.4
go: downloading github.com/inconshreveable/mousetrap v1.1.0
go: downloading k8s.io/kube-scheduler v0.36.4
go: downloading k8s.io/csi-translation-lib v0.36.4
go: downloading github.com/NYTimes/gziphandler v1.1.1
go: downloading go.opencensus.io v0.24.0
go: downloading github.com/JeffAshton/win_pdh v0.0.0-20161109143554-76bb4ee9f0ab
go: downloading github.com/cyphar/filepath-securejoin v0.7.0
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc v1.44.0
go: downloading github.com/nxadm/tail v1.4.8
go: downloading github.com/peterbourgon/diskv v2.0.1+incompatible
go: downloading github.com/go-openapi/testify/enable/yaml/v2 v2.4.2
go: downloading github.com/go-openapi/swag/jsonutils/fixtures_test v0.26.0
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlptrace v1.44.0
go: downloading github.com/coreos/go-systemd/v22 v22.7.0
go: downloading google.golang.org/genproto/googleapis/api v0.0.0-20260526163538-3dc84a4a5aaa
go: downloading github.com/tidwall/sjson v1.2.5
go: downloading github.com/kr/text v0.2.0
go: downloading github.com/rogpeppe/go-internal v1.14.1
go: downloading github.com/tidwall/match v1.1.1
go: downloading github.com/subosito/gotenv v1.6.0
go: downloading github.com/pelletier/go-toml/v2 v2.4.2
go: downloading github.com/frankban/quicktest v1.14.6
go: downloading github.com/gopherjs/gopherjs v1.17.2
go: downloading gonum.org/v1/gonum v0.17.0
go: downloading go.opentelemetry.io/auto/sdk v1.2.1
go: downloading cel.dev/expr v0.25.2
go: downloading github.com/creack/pty v1.1.24
go: downloading sigs.k8s.io/apiserver-network-proxy/konnectivity-client v0.35.0
go: downloading go.etcd.io/etcd/api/v3 v3.6.11
go: downloading gopkg.in/go-jose/go-jose.v2 v2.6.3
go: downloading github.com/coreos/go-semver v0.3.1
go: downloading go.etcd.io/etcd/server/v3 v3.6.8
go: downloading github.com/grpc-ecosystem/go-grpc-middleware/providers/prometheus v1.1.0
go: downloading go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc v0.69.0
go: downloading github.com/containerd/cgroups/v3 v3.1.3
go: downloading github.com/mistifyio/go-zfs v2.1.2-0.20190413222219-f784269be439+incompatible
go: downloading github.com/euank/go-kmsg-parser v2.0.0+incompatible
go: downloading github.com/robfig/cron/v3 v3.0.1
go: downloading github.com/opencontainers/runtime-spec v1.3.0
go: downloading github.com/containerd/typeurl/v2 v2.3.0
go: downloading github.com/Microsoft/hnslib v0.1.3
go: downloading github.com/google/btree v1.1.3
go: downloading gopkg.in/tomb.v1 v1.0.0-20141024135613-dd632973f1e7
go: downloading cyphar.com/go-pathrs v0.2.5
go: downloading go.opentelemetry.io/proto/otlp v1.10.0
go: downloading github.com/golang/groupcache v0.0.0-20241129210726-2c02b8208cf8
go: downloading github.com/antlr4-go/antlr/v4 v4.13.1
go: downloading github.com/Azure/go-ansiterm v0.0.0-20250102033503-faa5f7b0171c
go: downloading github.com/grpc-ecosystem/grpc-gateway/v2 v2.29.0
go: downloading k8s.io/kube-controller-manager v0.36.4
go: downloading k8s.io/kube-proxy v0.36.4
go: downloading k8s.io/metrics v0.36.4
go: downloading gopkg.in/yaml.v3 v3.0.1
go: downloading github.com/grpc-ecosystem/go-grpc-middleware/v2 v2.3.3
go: downloading github.com/containerd/ttrpc v1.2.8
go: downloading k8s.io/kms v0.36.4
go: downloading github.com/go-errors/errors v1.5.1
go: downloading github.com/sergi/go-diff v1.4.0
go: downloading github.com/cenkalti/backoff/v5 v5.0.3
go: downloading golang.org/x/exp v0.0.0-20260611194520-c48552f49976
go: downloading github.com/xlab/treeprint v1.2.0
go: downloading github.com/monochromegane/go-gitignore v0.0.0-20200626010858-205db1a8cc00
go: downloading k8s.io/externaljwt v0.36.4
go: downloading github.com/coreos/go-oidc v2.5.0+incompatible
go: downloading k8s.io/endpointslice v0.36.4
go: downloading github.com/pquerna/cachecontrol v0.1.0
go: downloading github.com/tmc/grpc-websocket-proxy v0.0.0-20220101234140-673ab2c3ae75
go: downloading go.etcd.io/etcd/pkg/v3 v3.6.8
go: downloading go.etcd.io/bbolt v1.5.0
go: downloading github.com/soheilhy/cmux v0.1.5
go: downloading github.com/dustin/go-humanize v1.0.1
go: downloading go.etcd.io/raft/v3 v3.6.0
go: downloading github.com/xiang90/probing v0.0.0-20221125231312-a49e3df8f510
go: downloading github.com/jonboulle/clockwork v0.5.0
go: downloading github.com/golang-jwt/jwt/v5 v5.3.1
CGO_ENABLED=0 GOOS=linux GOARCH=amd64 go build -trimpath -ldflags "-w -s -extldflags '-z now' -X github.com/kubeovn/kube-ovn/versions.COMMIT=git-2471f1a -X github.com/kubeovn/kube-ovn/versions.VERSION=v1.17.0 -X github.com/kubeovn/kube-ovn/versions.BUILDDATE=2026-09-07_00:46:14" -o /home/jake/sbomit-overhead-experiment/repos/kube-ovn/dist/images/kube-ovn -v ./cmd/cni
internal/unsafeheader
internal/byteorder
internal/coverage/rtcov
internal/godebugs
internal/goos
math/bits
internal/asan
internal/profilerecord
internal/runtime/pprof/label
internal/goexperiment
internal/msan
internal/goarch
internal/trace/tracev2
unicode
internal/cpu
sync/atomic
internal/runtime/syscall/linux
internal/abi
internal/runtime/atomic
internal/runtime/gc
internal/runtime/math
internal/runtime/sys
unicode/utf8
cmp
encoding
unicode/utf16
internal/nettrace
log/internal
internal/strconv
crypto/internal/fips140/alias
crypto/internal/fips140deps/byteorder
crypto/internal/constanttime
crypto/internal/fips140deps/time
crypto/internal/boring/sig
github.com/kubeovn/kube-ovn/pkg/apis/kubeovn
k8s.io/apimachinery/pkg/api/validate/constraints
k8s.io/apimachinery/pkg/selection
log/slog/internal
container/list
vendor/golang.org/x/crypto/cryptobyte/asn1
vendor/golang.org/x/crypto/internal/alias
k8s.io/apimachinery/pkg/types
github.com/k8snetworkplumbingwg/network-attachment-definition-client/pkg/apis/k8s.cni.cncf.io
google.golang.org/protobuf/internal/flags
google.golang.org/protobuf/internal/set
k8s.io/apimachinery/pkg/api/safe
crypto/internal/fips140/subtle
github.com/go-openapi/swag/cmdutils
database/sql/internal
golang.org/x/net/internal/iana
k8s.io/client-go/util/exec
kubevirt.io/api/backup
kubevirt.io/api/core
kubevirt.io/containerized-data-importer-api/pkg/apis/core
github.com/go-playground/locales/currency
github.com/leodido/go-urn/scim/schema
internal/bytealg
internal/chacha8rand
internal/runtime/gc/scan
math
crypto/internal/fips140deps/cpu
crypto/subtle
internal/runtime/exithook
internal/stringslite
internal/runtime/cgroup
internal/race
internal/synctest
internal/sync
internal/runtime/maps
runtime
iter
weak
k8s.io/klog/v2/internal/dbg
internal/reflectlite
sync
runtime/metrics
maps
slices
k8s.io/apimachinery/pkg/util/sets
internal/testlog
log/slog/internal/buffer
internal/bisect
internal/singleflight
crypto/internal/fips140cache
unique
go.uber.org/zap/internal/pool
google.golang.org/protobuf/internal/pragma
github.com/cenkalti/hub
errors
sort
encoding/json/internal
io
internal/oserror
path
strconv
crypto/internal/entropy/v1.0.0
vendor/golang.org/x/net/dns/dnsmessage
math/rand/v2
internal/godebug
encoding/json/internal/jsonflags
syscall
encoding/json/internal/jsonopts
bytes
hash
k8s.io/utils/buffer
internal/saferio
strings
encoding/base32
encoding/base64
net/netip
reflect
github.com/x448/float16
crypto/internal/randutil
container/heap
crypto
hash/crc32
hash/fnv
hash/adler32
k8s.io/utils/set
golang.org/x/text/internal/tag
crypto/internal/fips140deps/godebug
math/rand
github.com/beorn7/perks/quantile
vendor/golang.org/x/text/transform
golang.org/x/text/transform
github.com/gabriel-vasile/mimetype/internal/json
encoding/json/internal/jsonwire
regexp/syntax
crypto/internal/impl
crypto/internal/fips140
bufio
k8s.io/klog/v2/internal/severity
go/build/constraint
k8s.io/apimachinery/pkg/api/operation
encoding/pem
net/http/internal/ascii
github.com/go-openapi/swag/conv
github.com/go-openapi/swag/stringutils
github.com/munnerz/goautoneg
net/http/internal/testcert
crypto/internal/fips140/sha3
crypto/internal/fips140/sha256
crypto/internal/fips140/sha512
encoding/json/jsontext
crypto/internal/fips140/hmac
crypto/sha3
crypto/internal/fips140/check
crypto/internal/fips140hash
internal/syscall/execenv
time
internal/syscall/unix
crypto/fips140
crypto/internal/fips140/hkdf
crypto/internal/fips140/tls12
crypto/internal/fips140/bigmod
crypto/internal/fips140/edwards25519/field
crypto/internal/fips140/aes
crypto/internal/fips140/nistec/fiat
regexp
crypto/internal/fips140/tls13
crypto/tls/internal/fips140tls
crypto/internal/fips140/edwards25519
context
k8s.io/klog/v2/internal/clock
golang.org/x/net/internal/httpsfv
github.com/go-playground/locales
k8s.io/utils/clock
io/fs
go.uber.org/zap/buffer
net/http/internal/httpsfv
internal/poll
k8s.io/apimachinery/pkg/version
k8s.io/apimachinery/pkg/util/cache
go.uber.org/zap/internal/bufferpool
internal/gate
k8s.io/client-go/tools/cache/synctrack
internal/filepathlite
embed
github.com/cenkalti/backoff/v4
go.uber.org/zap/internal/stacktrace
crypto/internal/fips140/nistec
google.golang.org/protobuf/internal/editiondefaults
os
internal/fmtsort
k8s.io/kube-openapi/pkg/util
encoding/binary
sigs.k8s.io/structured-merge-diff/v6/schema
github.com/go-openapi/swag/jsonname
github.com/go-openapi/swag/typeutils
github.com/modern-go/reflect2
sigs.k8s.io/randfill/bytesource
github.com/cespare/xxhash/v2
vendor/golang.org/x/crypto/internal/poly1305
github.com/gabriel-vasile/mimetype/internal/scan
github.com/josharian/native
golang.org/x/sys/unix
github.com/gabriel-vasile/mimetype/internal/markup
github.com/gabriel-vasile/mimetype/internal/csv
github.com/gabriel-vasile/mimetype/internal/charset
path/filepath
fmt
crypto/internal/sysrand
io/ioutil
net
golang.org/x/sys/cpu
k8s.io/klog/v2/internal/buffer
internal/lazyregexp
google.golang.org/protobuf/internal/detrand
go.uber.org/zap/internal/exit
internal/sysinfo
github.com/prometheus/procfs/internal/util
vendor/golang.org/x/sys/cpu
os/signal
crypto/internal/fips140/drbg
crypto/internal/fips140/aes/gcm
crypto/internal/fips140only
crypto/internal/fips140/ed25519
crypto/internal/fips140/mlkem
crypto/internal/fips140/mldsa
crypto/internal/fips140/rsa
os/exec
golang.org/x/crypto/sha3
crypto/internal/fips140/ecdh
crypto/internal/fips140/ecdsa
crypto/hkdf
crypto/rc4
crypto/md5
crypto/cipher
crypto/mlkem
crypto/mldsa
github.com/containernetworking/plugins/pkg/utils/sysctl
log
k8s.io/apimachinery/third_party/forked/golang/reflect
flag
k8s.io/apimachinery/pkg/api/validate/content
k8s.io/apimachinery/pkg/fields
k8s.io/apimachinery/pkg/util/errors
os/user
encoding/hex
math/big
go/token
go/doc/comment
net/url
crypto/internal/boring
k8s.io/apimachinery/pkg/runtime/schema
encoding/json/v2
runtime/debug
crypto/sha256
compress/flate
crypto/aes
crypto/des
crypto/internal/rand
crypto/sha512
crypto/hmac
vendor/golang.org/x/crypto/chacha20
k8s.io/apimachinery/pkg/conversion
crypto/sha1
go/scanner
crypto/ecdh
k8s.io/klog/v2/internal/verbosity
vendor/golang.org/x/text/unicode/bidi
vendor/golang.org/x/text/unicode/norm
vendor/golang.org/x/crypto/chacha20poly1305
mime
mime/quotedprintable
k8s.io/apimachinery/pkg/util/naming
k8s.io/apimachinery/pkg/conversion/queryparams
net/http/internal
go/ast
vendor/golang.org/x/net/http2/hpack
github.com/modern-go/concurrent
go.yaml.in/yaml/v2
sigs.k8s.io/randfill
golang.org/x/text/unicode/bidi
golang.org/x/text/unicode/norm
golang.org/x/net/http2/hpack
vendor/golang.org/x/text/secure/bidirule
github.com/vishvananda/netns
github.com/containernetworking/plugins/pkg/ns
k8s.io/utils/ptr
crypto/hpke
github.com/cenkalti/backoff/v7
go.uber.org/multierr
go.uber.org/zap/internal/color
compress/gzip
google.golang.org/protobuf/internal/errors
google.golang.org/protobuf/encoding/protowire
google.golang.org/protobuf/internal/version
go.yaml.in/yaml/v3
github.com/go-openapi/jsonreference/internal
golang.org/x/text/secure/bidirule
github.com/go-openapi/swag/mangling
k8s.io/kube-openapi/pkg/internal/third_party/go-json-experiment/json
k8s.io/apimachinery/pkg/util/version
k8s.io/client-go/pkg/version
golang.org/x/term
k8s.io/client-go/tools/metrics
vendor/golang.org/x/net/idna
google.golang.org/protobuf/reflect/protoreflect
golang.org/x/time/rate
github.com/davecgh/go-spew/spew
k8s.io/kube-openapi/pkg/cached
compress/zlib
k8s.io/client-go/util/flowcontrol
encoding/xml
github.com/emicklei/go-restful/v3/log
k8s.io/apimachinery/third_party/forked/golang/json
